Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
Deputy Collector,J. Holman Leatherwood,27.0,1875-05-22,Saturday,Gunfire,"United States Department of the Treasury - Office of Internal Revenue, U.S. Government",United States,,,Rifle,Arrested,"Deputy Collector Holman Leatherwood was shot and killed in Etowah County, Alabama, while investigating an illegal still near Keener.He was on horeseback approaching a shed that contained the still when he was shot from ambush. The subjects involved with his murder concealed his body and then took his horse several miles away, where it was discovered at the Etowah County sheriff's home the next morning. A body believed to be that of Deputy Collector Leatherwood was located in the Coosa River one month later.Three men were eventually arrested and charged with Deputy Collector Leatherwood's murder, but the outcome of the trial is not known.Deputy Collector Leatherwood was survived by his parents."
Deputy Collector,Elisha Graham Johnson,36.0,1875-07-21,Wednesday,Gunfire,"United States Department of the Treasury - Office of Internal Revenue, U.S. Government",United States,,,Shotgun,Charged with murder,"Deputy Collector Elisha Johnson was shot and killed while searching for a still approximately 10 miles from Fernandina, Florida.A suspect was arrested and charged with murder approximately two months later.Deputy Collector Johnson was a Confederate Army veteran of the Civil War. At the time of his murder, he was also a sitting state Senator in the Florida Legislature. He was survived by his wife and father and is buried at Bosque Bello Cemetery in Fernandina Beach, Florida."
Posse Member,James Hooker,60.0,1875-03-24,Wednesday,Gunfire,"Elbert County Sheriff's Office, Colorado",Colorado,1 day,,Gun; Unknown type,Shot and killed,"Posse Member James Hooker was shot and killed as he rode with a posse attempting to arrest a gang of outlaws.Eight of the outlaws had been arrested and were being held in Kiowa as the rest of the posse attempted to locate the two ringleaders, who were wanted in Arapahoe County. When the posse located the men Posse Member Hooker and another posse member were able to get behind them and ordered them to drop their weapons.A shootout ensued in which Posse Member Hooker was shot in the back as he attempted to seek cover.The two outlaws escaped but were captured in Colorado Springs on April 17th, 1874, and taken to the Arapahoe County Jail. They escaped from the jail on July 28th, 1875. On August 8th, 1875, one of them was shot and killed by another posse and the second was wounded. The wounded man turned himself in two days later.Posse Member Hooker was survived by his son, who served as a sheriff's deputy with the Elbert County Sheriff's Office."
Patrolman,Edward Riebsamen,38.0,1875-04-29,Thursday,Gunfire,"Wilkes-Barre Police Department, Pennsylvania",Pennsylvania,"3 years, 4 months",10,Shotgun,,"Patrolman Edward Riebsamen was shot and killed while assisting a constable and a Luzerne County sheriff's deputy serve eviction papers at a home that had just been sold in a sheriff's sale. The home was located in a settlement known as Poke Hollow, in Larksville.The constable and deputy had requested assistance from the Wilkes-Barre Police Department after encountering resistance from the family in the home the previous day. Patrolman Riebsamen was sent with the officers to assist them with evicting the family.As the officers entered the yard upon returning with Officer Riebsamen, the family attacked them again and starting throwing items at them. When Patrolman Riebsamen attempted to arrest one of the female family members two of her brothers opened fire with shotguns from the second floor window, striking him in the head and killing him instantly.Patrolman Riebsamen had served with the Wilkes-Barre Police Department for three years. He was survived by his wife and several children."
Constable,T. C. Craig,57.0,1875-04-27,Tuesday,Gunfire,"Houston County Constable's Office - Precinct 3, Texas",Texas,,,Unknown weapon,Killed by posse,"Precinct 3 Constable T.C. Craig was killed and a citizen, M.C. Depuy, was seriously injured by a suspect attempting to escape charges of cattle theft.The suspect was under indictment in district court for cattle theft and assault with intent to murder the sheriff when he escaped from the county jail on April 27th. The suspect stole a horse from M.C. Dupuy during his escape. Dupuy and Constable Craig pursued the suspect for seven miles and overtook the suspect, who hid in the brush. The suspect fired on Constable Craig and Depuy. One round hit Constable Craig and killed him instantly. Depuy was also shot and dangerously wounded. The suspect escaped but was found on May 1  by a group of citizens who captured him while he was sleeping at a friend’s house. He was arrested and bound across a horse, feet and neck being tied together. The men carried him 10 miles and gave him a choice – jail or die? The men said Land chose to die. His body was riddled with buckshot and left in the woods.Constable Craig, a veteran of the Civil War, served with Confederate Army's Eleventh Battalion, Texas Volunteers, Calvary and Infantry before going on to serve as constable. "
Patrolman,Robert T. Frazier,46.0,1875-04-30,Friday,Gunfire,"Nashville City Police Department, Tennessee",Tennessee,,,Handgun,Lynched,"Patrolman Frazier was shot and killed while attempting to arrest a man for beating his wife on Whiteside Street. When he told the man he would have to accompany him to the workhouse the man refused to go. When Patrolman Frazier again told him he was under arrest the man pulled a small pistol from his pocket and shot Patrolman Frazier, killing him.The suspect fled the scene but was arrested several minutes later by other officers who had responded to the scene. That night an angry mob broke into the jail; seized the suspect; placed a rope around his neck; and hanged him from a nearby suspension bridge. The rope broke and he was killed when he hit the rocks 90 feet below. Patrolman Frazier was survived by his wife."
Deputy Marshal,George Carney,28.0,1875-01-20,Wednesday,Gunfire,"Bedford Police Department, Indiana",Indiana,,,Handgun,Sentenced to life,"Deputy Marshal George Carney was shot and killed when he interrupted a burglary at a local drug store at approximately 9:00 pm.As he approached the store he was shot by one of the two men who were burglarizing the store. Both men escaped but were arrested in Olney, Illinois, several days later. One of the two men exchanged shorts with the Olney marshal during the arrest.Both men were sentenced to life in prison.Deputy Marshal Carney's brother served with the Louisville Police Department. Deputy Marshal Carney was a Union Civil War Veteran."
Town Marshal,Thomas H. Branch,38.0,1875-09-23,Thursday,Gunfire,"Gainesville Police Department, Florida",Florida,,,Shotgun,,Town Marshal Thomas Branch was shot and killed by a man armed with a double-barrel shotgun one of the town's main streets.The subject was acquitted after a second trial.Marshal Branch also served as a deputy sheriff for Alachua County. He was survived by his wife and four children.
Jailer,Zack Hall,21.0,1875-01-27,Wednesday,Gunfire,"Robertson County Sheriff's Office, Texas",Texas,,,Officer's handgun,Escaped,"Jailer Zack Hall was shot and killed by an escaping prisoner at the Robertson County Jail.The prisoner had been arrested for stealing a horse the previous day. He asked Jailer Hall if he could be let out of his cell in order to write a letter to his wife and the request was granted. When Jailer Hall turned his back to the prisoner, the man grabbed a gun that had been placed on a nearby bed.He ordered Jailer Hall and a prisoner to not follow him as he fled down the stairs. As Jailer Hall began to pursue him down the stairs the man shot him in the stomach, killing him. The subject fled and it is not known if he was ever captured.Jailer Hall had been appointed as a jailer by his brother, who served as the sheriff."
Patrol Officer,George M. Crowell,45.0,1875-12-22,Wednesday,Assault,"Lynn Police Department, Massachusetts",Massachusetts,6 years,,Blunt object,,"Patrol Officer George Crowell died from injuries sustained on February 25th, 1872, when he was severely beaten by six men while attempting to quell a disturbance.The men attacked him and beat him with bricks, stones, and his own billy club, until the local fire brigade arrived and stopped the assault.He never fully recovered but was able to return to duty periodically. He died from the injuries on December 22nd, 1875.Patrol Officer Crowell had served with the Lynn Police Department for six years. He was survived by his wife and six children."
Deputy Collector,Jerome E. Goodner,30.0,1875-01-26,Tuesday,Gunfire,"United States Department of the Treasury - Office of Internal Revenue, U.S. Government",United States,,,Rifle,Never charged,"Deputy Collector Jerome Goodner succumbed to gunshot wounds sustained several days earlier when he was shot in DeKalb County, Tennessee, after seizing an illegal still.He and a posseman had taken custody of the still as evidence from a group of moonshiners and were returning to Alexandria with it, but stopped at a home to sleep for the night. The group of moonshiners got reinforcements and a mob of 40 people confronted Deputy Collector Goodner and the posseman and demanded that he hand over the still and equipment.Deputy Collector Goodner refused to hand it over. The next day he and the posseman were ambushed as they set off for Alexandria. Deputy Goodner was fatally wounded in the exchange of shots.Deputy Collector Goodner was a Union Army veteran of the Civil War. He was survived by his wife, son, and two daughters, and is buried at Eastview Cemetery in Alexandria, Tennessee."
